lambda_size,lambda_corr,lambda_risk,lambda_marginal,best_subset,best_score,base_score,pair_penalty,risk_used,selected_assets
0.05,0.5,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.689923,2.895923,0.056,3.5,fx|oil|index
0.05,0.5,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.689923,2.895923,0.056,3.5,fx|oil|index
0.05,0.5,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.654779,3.078779,0.124,3.5,fx|crypto|oil|index
0.05,0.5,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.539923,2.895923,0.056,3.5,fx|oil|index
0.05,0.5,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.539923,2.895923,0.056,3.5,fx|oil|index
0.05,0.5,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.539923,2.895923,0.056,3.5,fx|oil|index
0.05,0.5,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.504779,3.078779,0.124,3.5,fx|crypto|oil|index
0.05,0.5,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.389923,2.895923,0.056,3.5,fx|oil|index
0.05,0.5,1.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.389923,2.895923,0.056,3.5,fx|oil|index
0.05,0.5,1.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.389923,2.895923,0.056,3.5,fx|oil|index
0.05,1.0,0.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.725779,3.078779,0.203,3.5,fx|crypto|oil|index
0.05,1.0,0.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.656423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.0,0.5,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.656423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.0,0.5,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.656423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.0,1.0,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.575779,3.078779,0.203,3.5,fx|crypto|oil|index
0.05,1.0,1.0,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.506423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.0,1.0,0.5,fx_fomc_001|oil_opec_001|index_nfp_001,2.506423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.0,1.0,0.75,fx_fomc_001|oil_opec_001|index_nfp_001,2.506423,2.895923,0.0895,3.5,fx|oil|index
0.05,1.0,1.5,0.0,fx_fomc_001|crypto_geo_001|oil_opec_001|index_nfp_001,2.425779,3.078779,0.203,3.5,fx|crypto|oil|index
0.05,1.0,1.5,0.25,fx_fomc_001|oil_opec_001|index_nfp_001,2.356423,2.895923,0.0895,3.5,fx|oil|index
