asset,event_type,ym,surprise,actual,forecast,early_bps,net_bps,pnl_timing,pnl_directed,surprise_z
CRYPTO,NFP,2024-01,215.0,216.0,1.0,-4.485526095289183,15.2476010404623,8.43315248746346,8.43315248746346,2.073037112694037
CRYPTO,CPI,2024-01,0.1,0.3,0.2,-16.866783382855076,38.85193866184578,1.2492917774873398,1.2492917774873398,0.0
CRYPTO,NFP,2024-02,167.0,353.0,186.0,-54.52119017778423,-91.28626467994394,4.988167386284827,4.988167386284827,1.570482661131846
CRYPTO,CPI,2024-02,0.0,0.3,0.3,-24.579396878277038,-44.55322172987497,,,-0.348394647036325
CRYPTO,NFP,2024-03,55.0,275.0,220.0,-13.834177565098527,-14.389271341892496,11.603870440150878,11.603870440150878,0.3978556074867343
CRYPTO,CPI,2024-03,0.2,0.4,0.2,52.86441031248312,78.85293750967692,-3.6267970936789666,2.468101639598654,0.348394647036325
CRYPTO,NFP,2024-04,127.0,303.0,176.0,-68.84693962407651,21.555199443805684,33.81340902320762,33.81340902320762,1.1516872848300204
CRYPTO,CPI,2024-04,0.2,0.4,0.2,-105.19008506025939,-143.36049207014702,1.8457059679763983,1.8457059679763983,0.348394647036325
CRYPTO,NFP,2024-05,-22.0,175.0,197.0,156.5829309816502,250.16119701054996,0.697742158737082,0.697742158737082,-0.40832549189427997
CRYPTO,CPI,2024-05,0.1,0.3,0.2,175.63060520449315,173.59842059646357,5.928531918406367,-98.23788703118308,0.0
CRYPTO,NFP,2024-06,54.0,272.0,218.0,-139.64624674646097,-96.92549433717556,-1.5789768548137832,-1.5789768548137832,0.38738572307918867
CRYPTO,CPI,2024-06,-0.2,0.0,0.2,189.6779885310984,195.45566828407468,-2.3730720405037413,-2.3730720405037413,-1.0451839411089752
CRYPTO,NFP,2024-07,-81.0,206.0,287.0,-83.02185163887255,-107.41050891316716,-25.099495584650853,-4.243930384765447,-1.0260486719394728
CRYPTO,CPI,2024-07,-0.2,-0.1,0.1,89.41189454096943,16.628909300915318,-28.02677520266439,-28.02677520266439,-1.0451839411089752
CRYPTO,NFP,2024-08,-127.0,114.0,241.0,-29.14522229800931,52.83437713151873,-0.18829592634905623,-5.051046158281112,-1.5076633546865723
CRYPTO,CPI,2024-08,0.1,0.2,0.1,-62.89878096226165,-100.79788613668872,17.412367894816597,17.412367894816597,0.0
CRYPTO,NFP,2024-09,38.0,142.0,104.0,89.63094434959685,174.78687135031868,-2.796847035648973,18.78177068973508,0.21986757255845846
CRYPTO,CPI,2024-09,-0.1,0.2,0.3,-43.173338949950015,-14.275566469714729,0.34595318668873176,3.6401579244225175,-0.69678929407265
CRYPTO,NFP,2024-10,-13.0,254.0,267.0,-35.26040293937882,57.465379019694396,38.20903376153795,9.051643721093907,-0.3140965322263692
CRYPTO,CPI,2024-10,0.1,0.2,0.1,-46.35069852461204,-48.64473168821104,5.246419493244227,5.246419493244227,0.0
CRYPTO,NFP,2024-11,-217.0,12.0,229.0,4.853482466402603,37.50221131623155,32.13666882696731,32.13666882696731,-2.4499529513656797
CRYPTO,CPI,2024-11,0.0,0.2,0.2,33.453747638914066,103.11857680057601,,,-0.348394647036325
CRYPTO,NFP,2024-12,51.0,227.0,176.0,45.209880068532996,53.17532838378103,1.423821400432292,-58.66016819930064,0.3559760698565518
CRYPTO,CPI,2024-12,0.1,0.3,0.2,42.13731419627997,37.41421052027016,14.834160471379533,14.98645987250891,0.0
CRYPTO,NFP,2025-01,43.0,256.0,213.0,1.3207103121892771,-3.5390892961773,-2.567409431151411,-0.8289414842457248,0.27221699459618665
CRYPTO,CPI,2025-01,0.1,0.4,0.3,127.85521049607951,172.1305737757728,32.82850801034276,-99.45076202940739,0.0
CRYPTO,NFP,2025-02,-65.0,143.0,208.0,-13.58176039596315,116.5083288088109,27.02328743559668,-1.6191115880184164,-0.8585305214187425
CRYPTO,CPI,2025-02,0.1,0.5,0.4,-163.4902993013243,-158.5316140792914,40.81196103218643,40.81196103218643,0.0
CRYPTO,NFP,2025-03,-42.0,151.0,193.0,42.89789576227277,-35.12094692934231,0.24423576547172487,0.24423576547172487,-0.6177231800451928
CRYPTO,CPI,2025-03,-0.4,0.2,0.6,66.17119146171913,84.75589019092178,1.605937435255946,1.605937435255946,-1.7419732351816248
CRYPTO,NFP,2025-04,89.0,228.0,139.0,47.696397465535334,43.566677616866386,0.38731896922583786,-52.03180059287349,0.7538316773432862
CRYPTO,CPI,2025-04,-0.5,-0.1,0.4,1.6486208530541724,-37.46978646213872,3.1750486625823378,3.1750486625823378,-2.09036788221795
