asset,event_type,early_bps,bucket,gross_bps,net_retail_conservative_bps,net_retail_optimistic_bps
CRYPTO,NFP,20.867942468688618,small,10.43315248746346,-15.265032588258602,-0.2669024981858321
CRYPTO,CPI,39.39754760236558,small,3.2492917774873398,-0.4576880466822075,17.52879229825722
CRYPTO,FOMC,5.117966014130948,small,2.00933130697023,-28.956772771830934,-10.951548219571887
CRYPTO,NFP,23.870862925311485,small,6.988167386284827,-18.681998987963837,-3.682843961606334
CRYPTO,CPI,39.214488298359164,small,13.013437762751101,-27.369403903723093,-9.366781367406755
CRYPTO,NFP,8.315215245127128,small,-13.60067479287741,-41.588196428895536,-26.594223492487405
CRYPTO,CPI,22.04289268535886,small,4.468101639598654,-35.041601404650606,-17.034376929126786
CRYPTO,FOMC,56.80607503824042,mid,-0.6057638977108315,-40.11938090590526,-19.133443104170972
CRYPTO,NFP,45.75261820799925,small,35.81340902320762,8.989946815123346,23.98080150195959
CRYPTO,CPI,56.876472693087045,mid,3.8457059679763983,-31.888337025067752,-13.883003941282716
CRYPTO,FOMC,29.550027731992667,small,-81.19138544399051,-106.77394746219758,-88.7220337675374
CRYPTO,NFP,57.67937487841435,mid,2.697742158737082,-23.50353484621424,-8.504135696857144
CRYPTO,CPI,115.72472659903798,big,7.928531918406367,-12.57670579239976,5.429551743138202
CRYPTO,NFP,118.16103248027842,big,0.42102314518621675,-23.34497039256032,-8.344416684443516
CRYPTO,CPI,109.48536979855872,big,-0.3730720405037413,-31.852456889650533,-13.857768278687558
CRYPTO,FOMC,98.59170466929857,mid,3.9712149890991366,-22.64587978909825,-4.644441678358417
CRYPTO,NFP,113.8621334100065,big,-23.099495584650853,11.496232383403377,26.48633529725909
CRYPTO,CPI,129.27597483659792,big,-26.02677520266439,-37.90226678012652,-19.911209145406552
CRYPTO,FOMC,20.112167471432187,small,13.413022585296863,-16.8733528721887,1.1246218086327158
CRYPTO,NFP,48.84200409251527,mid,1.8117040736509438,-32.12238754286332,-17.119201004264
CRYPTO,CPI,52.1981584749065,mid,19.412367894816597,-21.964369699036794,-3.964989211535423
